name,type,level,recipe,caracteristic,effect
Hache Ériphe,Hache,200,"['Galet acajou', 'Etoffe de Cuirassé', 'Bec de Strigide', 'Œil de verre', 'Essence de Glourséleste', ""Graisse d'Archillusion"", 'Écharpe de Hanshi', ""Bracelet d'Ino-Naru""]","['PA :5 (1 utilisation par tour)', 'Portée :1', 'CC :15% (+8)', 'Force > 349 etAgilité de base > 349']","['15 à 19 (dommages Neutre)', '21 à 27 (dommages Air)', '8 à 11 (vol Terre)', '201 à 250 Vitalité', '41 à 60 Force', '41 à 60 Agilité', '4 à 5% Coups Critiques', '1 PO', '-301 à 400 Initiative', '11 à 15 Prospection', '14 à 18 Dommages Neutre', '14 à 18 Dommages Terre', '14 à 18 Dommages Air', '7 à 10 % Résistance Neutre', '7 à 10 % Résistance Air', '7 à 10 Fuite', '16 à 20 Dommages Poussée']"
Sceptre du Shushuverain,Baguette,200,"['Etoffe de Kolosso', 'Galet brasillant', ""Sang d'Armutin"", ""Poil d'aisselle de Missiz Frizz"", 'Culotte de Missiz Frizz', 'Tourmaline', 'Orbe irisé', 'Andésite']","['PA :4 (1 utilisation par tour)', 'Portée :2 à 6', 'CC :0%']","['25 à 30 (dommages Air)', '12 à 14 (dommages Eau)', '12 à 14 (dommages Eau)', '301 à 350 Vitalité', '51 à 70 Agilité', '51 à 70 Chance', '31 à 40 Sagesse', '11 à 15 Résistance Critiques', '11 à 15 Prospection', '7 à 10 Fuite', '7 à 10 % Résistance Terre', '5 à 7 Retrait PA', '-10% Coups Critiques', '1 PO']"
Harpelle,Pelle,200,"['Etoffe givrée', 'Astragale de Brikoléreux', 'Tourmaline', 'Orbe irisé', 'Andésite', 'Bourgeon explosif de Damadrya', 'Tige de Bambouto', ""Bracelet d'Ino-Naru""]","['PA :4 (1 utilisation par tour)', 'Portée :1', 'CC :20% (+8)']","['21 à 25 (dommages Feu)', '21 à 25 (dommages Feu)', '301 à 400 Vitalité', '61 à 80 Intelligence', '31 à 50 Sagesse', '11 à 15 Tacle', '6 à 8 Dommages Feu', '5 à 7 % Résistance Neutre', '3 à 5 % Résistance Eau', '11 à 15 Soins', '2 à 3% Coups Critiques']"
Marteau Submergé,Marteau,200,"['Galet brasillant', 'Moustache de Klime', 'Molaire de Ventrublion', 'Broderie de Nileza', 'Tourmaline', 'Orbe irisé', 'Andésite', 'Peau sale du Roi Skaille']","['PA :5 (1 utilisation par tour)', 'Portée :1', 'CC :20% (+12)', 'Agilité de base > 450 etIntelligence de base > 450']","['31 à 35 (dommages Air)', '31 à 35 (dommages Feu)', '3 à 4% Coups Critiques', '1 Invocations', '301 à 350 Vitalité', '41 à 60 Agilité', '41 à 60 Intelligence', '11 à 15 Résistance Air', '31 à 40 Sagesse', '11 à 15 Prospection', '11 à 15 Dommages Feu', '11 à 15 Dommages Air', '7 à 10 % Résistance Terre', '7 à 10 Esquive PA']"
Arc de Koutoulou,Arc,200,"['Pointe osseuse de Grasmera', 'Aile de Gouleton', 'Goulobule rouge', 'Poil de Délégoule', 'Tourmaline', 'Orbe irisé', 'Andésite', 'Chitine de Pandogorgo']","['PA :4 (1 utilisation par tour)', 'Portée :4 à 7', 'CC :15% (+10)']","['301 à 400 Initiative', '351 à 400 Vitalité', '61 à 80 Force', '11 à 15 Résistance Critiques', '21 à 30 Sagesse', '16 à 20 Dommages Terre', '5 à 7 % Résistance Eau', '5 à 7 % Résistance Feu', '-7 à 10 Esquive PA', '3 à 4% Coups Critiques', '36 à 45 (dommages Terre)', '5 à 7 Fuite', '5 à 8 Esquive PM']"
Bâton de Hanshi,Bâton,200,"['Poitrine de Glourson conservée', 'Tourmaline', 'Orbe irisé', 'Andésite', 'Pelage aérodynamique', ""Ruban d'Uchiwang"", 'Piques à cheveux de Shihan', 'Queue magique de Founoroshi']","['PA :4 (1 utilisation par tour)', 'Portée :1', 'CC :15% (+6)', 'Agilité de base > 399 etChance de base > 399']","['301 à 350 Vitalité', '41 à 60 Chance', '41 à 60 Agilité', '31 à 40 Sagesse', '2 à 3% Coups Critiques', '-1 PO', '301 à 500 Initiative', '7 à 10 Dommages Eau', '7 à 10 Dommages Air', '11 à 15 Résistance Feu', '5 à 7 % Résistance Neutre', '5 à 7 % Résistance Terre', '5 à 7 % Résistance Feu', '5 à 7 Fuite', '-21 à 30 Résistance Poussée', '11 à 15 Prospection', '27 à 32 (dommages Eau)', '14 à 17 (dommages Air)', '6 à 8 (vol Air)']"
Éventails de Shihan,Dague,200,"['Essence de forêt', 'Bandelette du Comte Harebourg', 'Tourmaline', 'Orbe irisé', 'Andésite', 'Bourgeon explosif de Damadrya', 'Pelage aérodynamique', 'Lame brisée de Lichangoro']","['PA :3 (2 utilisations par tour)', 'Portée :1', 'CC :5% (+3)', 'Force > 449 etChance de base > 449']","['301 à 350 Vitalité', '31 à 50 Force', '31 à 50 Chance', '11 à 15 Résistance Critiques', '31 à 40 Sagesse', '11 à 15 Dommages Terre', '11 à 15 Dommages Neutre', '7 à 10 % Résistance Feu', '1 PO', '12 à 18 (dommages Neutre)', '3 à 5 (vol Eau)', '3 à 4 (vol Terre)', '11 à 15 Dommages Eau']"
"Suko, l'épée Endormie",Arme Légendaire,200,[],[],"['8 Dommages Élémentaires', 'Arme Endormie', '11 Dommages Critiques', 'Obtenue par : -']"
Doleau de Ragnaroche,Hache,200,"['Rutile', 'Galet brasillant', 'Incus de Verglasseur', ""Poil d'aisselle de Missiz Frizz"", 'Astragale de Brikoléreux', 'Orbe irisé', 'Andésite', 'Tige de Bambouto']","['PA :4 (1 utilisation par tour)', 'Portée :1', 'CC :10% (+5)', 'Agilité de base > 399 etForce > 399 etIntelligence de base > 399']","['351 à 400 Vitalité', '31 à 50 Force', '31 à 50 Agilité', '31 à 50 Intelligence', '16 à 25 Puissance', '21 à 30 Sagesse', '11 à 15 Prospection', '5 à 8 Fuite', '11 à 15 Dommages Feu', '11 à 15 Dommages Air', '11 à 15 Dommages Terre', '7 à 10 % Résistance Eau', '3 à 5% Coups Critiques', '15 à 18 (dommages Terre)', '15 à 18 (dommages Feu)', '15 à 18 (dommages Air)']"
Dagues Érhy,Dague,200,"['Galet acajou', ""Sang d'Armutin"", 'Incisive de Stalak', 'Broderie de Nileza', 'Plume de Sinistro', 'Œil de verre', 'Essence de Comte Harebourg', ""Bracelet d'Ino-Naru""]","['PA :3 (2 utilisations par tour)', 'Portée :1', 'CC :5% (+7)', 'Force > 450 ouAgilité de base > 450']","['16 à 22 (dommages Neutre)', '10 à 14 (dommages Feu)', '351 à 400 Vitalité', '31 à 50 Force', '31 à 50 Intelligence', '31 à 50 Agilité', '31 à 40 Sagesse', '1 PO', '2 Invocations', '11 à 15 Dommages Terre', '11 à 15 Dommages Feu', '11 à 15 Dommages Air', '7 à 10 % Résistance Eau', '7 à 10 Fuite', '11 à 15 Résistance Critiques']"
Pelle de la Corporation,Pelle,200,"['Galet brasillant', ""Oeil d'Ougah"", 'Ongle du Bworker', ""Sang d'Armutin"", 'Stapes de Frimar', ""Poil d'aisselle de Missiz Frizz"", 'Tourmaline', ""Écailles de Ka'Youloud""]","['PA :4 (1 utilisation par tour)', 'Portée :1', 'CC :0%', 'Intelligence de base > 249 etChance de base > 249']","['36 à 40 (dommages Eau)', '36 à 40 (dommages Feu)', '301 à 350 Vitalité', '41 à 60 Intelligence', '41 à 60 Chance', '31 à 40 Sagesse', '11 à 15 Prospection', '11 à 15 Dommages Feu', '11 à 15 Dommages Eau', '7 à 10 % Résistance Air', '11 à 15 Esquive PA', '9 à 12 Soins', '1 Invocations', '3 à 4% Coups Critiques']"
"Kinuro, le bâton Endormi",Arme Légendaire,200,[],[],"['Arme Endormie', '20 Caractéristique', '100 Initiative', 'Obtenue par : -']"
"Momako, les dagues Endormies",Arme Légendaire,200,[],[],"['Arme Endormie', '8 Dommages Élémentaires', '10 Puissance', 'Obtenue par : -']"
"Numezawa, la baguette Endormie",Arme Légendaire,200,[],[],"['Arme Endormie', '20 Caractéristique', '8 Dommages Poussée', 'Obtenue par : -']"
