name,type,level,recipe,caracteristic,effect
Hache Ériphe,Hache,200,"['Galet brasillant', 'Oreille de Sphincter Cell', ""Cœur d'Empaillé"", 'Bec de Dodox', 'Laine de Sylargh', 'Griffe de Strigide', 'Bandelette du Comte Harebourg', 'Œil de verre']","['PA :5 (1 utilisation par tour)', 'Portée :1', 'CC :1/5 (+4)', 'Force > 350 etAgilité de base > 350']","['15 à 19 (dommages Neutre)', '21 à 27 (dommages Air)', '8 à 11 (vol Terre)', '201 à 250 Vitalité', '41 à 60 Force', '41 à 60 Agilité', '4 à 5% Critique', '1 Portée', '-301 à -400 Initiative', '11 à 15 Prospection', '14 à 18 Dommage{~ps}{~zs} Neutre', '14 à 18 Dommage{~ps}{~zs} Terre', '14 à 18 Dommage{~ps}{~zs} Air', '7 à 10% Résistance Neutre', '7 à 10% Résistance Air', '7 à 10 Fuite', '16 à 20 Dommage{~ps}{~zs} Poussée']"
Pelle de la Cour Sombre,Pelle,200,"['Ongle du Bworker', 'Barbe de Merkator', 'Trame Dimensionnelle', 'Tourmaline', 'Tête de mort', 'Broderie de la Reine des Voleurs', 'Piège désamorcé de Mâchassin', 'Chouchou de Doublure']","['PA :6 (1 utilisation par tour)', 'Portée :1', 'CC :1/5 (+10)']","['61 à 70 (dommages Air)', '251 à 300 Vitalité', '61 à 80 Agilité', '21 à 30 Résistance{~ps}{~zs} Poussée', '31 à 50 Sagesse', '16 à 20 Prospection', '-11 à -15 Fuite', '9 à 12 Dommage{~ps}{~zs} Air', '7 à 10% Résistance Terre', '7 à 10% Résistance Eau', '7 à 10 Esquive PA', '2 à 3% Critique', '1 Portée']"
Épée de la Reine des Voleurs,Épée,200,"[""Œil d'Ougah"", ""Poil d'aisselle de Missiz Frizz"", 'Trame Dimensionnelle', 'Tourmaline', 'Tête de mort', 'Broderie de la Reine des Voleurs', 'Piège désamorcé de Mâchassin', 'Chouchou de Doublure']","['PA :5 (1 utilisation par tour)', 'Portée :1', 'CC :1/10 (+3)', 'Force > 299 etAgilité de base > 299 etPA < 12']","['41 à 45 (dommages Neutre)', '5 à 8 (dommages Terre)', '7 à 12 (vol Air)', '301 à 350 Vitalité', '41 à 60 Force', '41 à 60 Agilité', '31 à 50 Sagesse', '11 à 15 Fuite', '11 à 15 Dommage{~ps}{~zs} Air', '11 à 15 Dommage{~ps}{~zs} Terre', '11 à 15 Dommage{~ps}{~zs} Neutre', '7 à 10% Résistance Feu', '-25 Esquive PM', '-15 Esquive PA', '16 à 20 Dommage{~ps}{~zs} Critiques', '1 PM']"
Crocobur,Épée,200,"['Ardonite', 'Galet brasillant', 'Tourmaline', 'Essence de Solar', 'Essence de Dazak Martegel', 'Chope de Bière', 'Légende de Crocobur', 'Reflet onirique']","['PA :6 (1 utilisation par tour)', 'Portée :1', 'CC :1/10 (+7)']","[""À chaque début de tour, le porteur s'inflige des dommages dans son meilleur élément d'attaque pour voler de la vie aux entités à son contact à la fin de son tour."", '401 à 450 Vitalité', '71 à 100 Force', '51 à 70 Agilité', '51 à 70 Chance', '16 à 20 Tacle', '-20 Esquive PA', '-10% Résistance distance', '41 à 60 (dommages Neutre)', '6 à 9 (vol Air)', '6 à 9 (vol Eau)', '16 à 20 Dommage{~ps}{~zs} Air', '16 à 20 Dommage{~ps}{~zs} Eau', '16 à 20 Dommage{~ps}{~zs} Feu', '16 à 20 Dommage{~ps}{~zs} Terre', '16 à 20 Dommage{~ps}{~zs} Neutre']"
Plume de Buhorado,Arc,200,"['Galet brasillant', 'Tourmaline', 'Essence du Roi Nidas', 'Substrat de Sylve', 'Biscuit de chance', 'Essence de Dantinéa', 'Légende de Buhorado', 'Reflet onirique']","['PA :4 (1 utilisation par tour)', 'Portée :4 à 7', 'CC :1/15 (+15)', 'PA < 12']","['Quand le porteur occasionne un coup critique, il gagne des dommages de poussée pour 2 tours, cumulable 5 fois.', '301 à 350 Vitalité', '81 à 120 Agilité', '21 à 30 Dommage{~ps}{~zs} Poussée', '-20 Esquive PM', '1 Portée', '1 PM', '36 à 45 (dommages Air)']"
Spatule Tranche-Gourmands,Pelle,200,"['Galet brasillant', 'Ethmoïde du Minotot', ""Pic d'Anerice"", 'Tablette Chocomancienne', 'Peau de Torréfactueur', 'Diadème de Chocoligarque', 'Broderie de la Prêtresse de Kao', 'Éclat Kao brisé']","['PA :5 (1 utilisation par tour)', 'Portée :1', 'CC :1/15 (+5)']","['351 à 400 Vitalité', '41 à 60 Force', '41 à 60 Agilité', '31 à 40 Sagesse', '9 à 12 Tacle', '-15 Fuite', '7 à 10 Dommage{~ps}{~zs} Terre', '7 à 10 Dommage{~ps}{~zs} Air', '7 à 10 Dommage{~ps}{~zs} Neutre', '4 à 7% Résistance Neutre', '4 à 7% Résistance Eau', '7 à 10 Retrait PM', '1 à 2% Critique', '23 à 30 (dommages Terre)', '18 à 25 (dommages Air)', '7 à 10 (vol Neutre)']"
Hachebarde de Guerre,Hache,200,"['Galet brasillant', 'Substrat de Sylve', 'Essence de Solar', 'Corne de Volkorne', 'Reflet onirique', 'Essence de Guerre', 'Lame tranchante', 'Légende de Guerre']","['PA :5 (1 utilisation par tour)', 'Portée :1', 'CC :1/10 (+10)']","['401 à 450 Vitalité', '81 à 120 Intelligence', '16 à 20 Tacle', '16 à 20 Dommage{~ps}{~zs} Feu', '11 à 15 Retrait PM', '-15% Dommages distance', '41 à 50 (dommages Feu)', '-2 PM', ""Si le porteur est au contact d'un ennemi au début de son tour, il gagne 20 Retrait PM pour 1 tour, sinon, il gagne 30 Tacle. Quand le porteur tue un adversaire (hors invocations) avec des dommages directs, il gagne 1 PM jusqu'à la fin du combat, cumulable 3 fois maximum."", '-20 Fuite', '7 à 10% Résistance Feu']"
Sabres d'Atcham,Épée,200,"['Ongle du Bworker', 'Barbe de Merkator', 'Trame Dimensionnelle', 'Biscuit de chance', 'Gilet du Valet', 'Sceau du Roi Joueur', 'Dé du Chalœil', ""Cheveu d'Atcham"", ""Cape d'Atcham"", ""Sandales d'Atcham"", ""Sabres d'Atcham""]","['PA :6 (1 utilisation par tour)', 'Portée :1', 'CC :1/15 (+5)', 'Intelligence de base > 299 etChance de base > 299 etAgilité de base > 299']","['20 à 25 (dommages Feu)', '20 à 25 (dommages Eau)', '20 à 25 (dommages Air)', '-1 PA', '301 à 350 Vitalité', '31 à 40 Intelligence', '31 à 40 Agilité', '31 à 40 Chance', '11 à 15 Puissance', '31 à 40 Sagesse', '5 à 7 Fuite', '7 à 10 Dommage{~ps}{~zs} Feu', '7 à 10 Dommage{~ps}{~zs} Air', '7 à 10 Dommage{~ps}{~zs} Eau', '7 à 10% Résistance Feu', '5 à 7 Retrait PA', '11 à 15 Dommage{~ps}{~zs} Critiques', '4 à 5% Critique', '1 Portée']"
Sceptre du Roi Joueur,Bâton,200,"['Ethmoïde du Minotot', 'Broderie de Nileza', 'Trame Dimensionnelle', 'Tourmaline', 'Biscuit de chance', 'Plume du Cavalier', 'Sceau du Roi Joueur', 'Dé du Chalœil']","['PA :3 (2 utilisations par tour)', 'Portée :1', 'CC :1/15 (+3)']","['12 à 15 (dommages Eau)', '4 à 5 (vol Eau)', '351 à 400 Vitalité', '61 à 80 Chance', '31 à 50 Sagesse', '11 à 15 Prospection', '7 à 10 Fuite', '16 à 20 Dommage{~ps}{~zs} Eau', '7 à 10% Résistance Terre', '5 à 7% Résistance Neutre', '5 à 7 Retrait PA', '7 à 10 Dommage{~ps}{~zs} Critiques', '1 Invocation{~ps}{~zs}', '2 à 3% Critique']"
Lance corrompue,Lance,200,"['Galet brasillant', 'Bandelette du Comte Harebourg', 'Étoffe Mystérieuse', 'Substrat de Sylve', 'Poils du Comte Razof', 'Pince de Crâme', 'Brûlâme encapsulé', ""Plume d'Ilyzaelle""]","['PA :3 (1 utilisation par tour)', 'Portée :1', 'CC :1/5 (+3)', 'Agilité de base > 299 etForce > 299']","['11 à 15 (dommages Neutre)', '6 à 8 (vol Air)', '6 à 8 (vol Terre)', '351 à 400 Vitalité', '51 à 70 Force', '51 à 70 Agilité', '21 à 30 Sagesse', '11 à 15 Prospection', '7 à 10 Tacle', '16 à 20 Dommage{~ps}{~zs} Air', '16 à 20 Dommage{~ps}{~zs} Terre', '16 à 20 Dommage{~ps}{~zs} Neutre', '21 à 30 Dommage{~ps}{~zs} Poussée', '7 à 10% Résistance Eau', '4 à 6 Esquive PA', '-5% Critique']"
