name,type,level,recipe
Coffre magistral,Coffre,200,[]
Coffre de Machab le Sanguinaire,Coffre,200,[]
Quintessence de Poukachi,Coffre,200,"['Légende animale de Poukachi', 'Cristal intemporel', 'Œuf inerte', 'Nanogrine', 'Boucle temporelle']"
Coffre de Kongoku,Coffre,200,[]
Potion Torboyo,Potion,200,"['Perce-Neige', 'Eau calme', 'Millet']"
Mawki,Poisson comestible,200,[]
Pain de Frostiz soufflé,Pain,200,"['Eau calme', 'Frostiz soufflé', 'Mandragore']"
Poisskaille en Fricassée,Poisson comestible,200,"['Poisskaille', 'Eau calme', 'Mandragore']"
Coffre de Gein,Coffre,200,[]
Saucisse Fumée Fortifiante,Viande comestible,200,"['Eau calme', 'Millet', 'Bidoche Goûtue']"
Coffre d'Atcham,Coffre,200,[]
Serviette égarée,Objet utilisable,200,[]
Boîte de fragments magistrale,Boîte de fragments,200,[]
Bûche de Tremble,Friandise,200,"['Levure de Boulanger', 'Millet', 'Sève de Tremble']"
Quintessence de Magicrabe,Coffre,200,"['Légende animale de Magicrabe', 'Cristal temporel', 'Œuf inerte', 'Nanogrine', 'Boucle intemporelle']"
Pain Ture,Pain,200,"['Cendres Éternelles', ""Pichon d'encre"", 'Cristal liquide']"
Sushiwi,Poisson comestible,200,[]
Extraordinaire Potion de Percepteur,Potion de conquête,200,"['Œil de Sapeur', 'Antenne de Gloursaya', 'Sang de Ventrublion', 'Pépite', 'Morceau de clef de Paspartou', 'Crâne magique de Magouille', 'Œil de Verminocule', 'Griffe de Buboxor']"
Bouteille de Cocalane,Boisson,200,[]
Saucisse Fumée,Viande comestible,200,"['Eau calme', 'Millet', 'Viande Goûtue']"
Quintessence de Kwakarticho,Coffre,200,"['Légende animale de Kwakarticho', 'Cristal temporel', 'Œuf inerte', 'Nanogrine', 'Boucle intemporelle']"
Quintessence de Bakushana,Coffre,200,"['Légende animale de Bakushana', 'Cristal intemporel', 'Œuf inerte', 'Nanogrine', 'Boucle temporelle']"
Potion Étoilée,Potion,200,"['Eau calme', 'Étoile des Neiges', 'Millet']"
Poisskaille Givré en Ragoût,Poisson comestible,200,"['Eau calme', 'Poisskaille Givré', 'Mandragore']"
Coffre de Voldelor,Coffre,200,[]
Boule de painpier mâché,Pain,200,"['Poudre Temporelle', 'Tulipe en papier', 'Cristal pliable']"
Coffre de l'Hyperscampe,Coffre,200,[]
Pain de Frostiz,Pain,200,"['Frostiz', 'Eau calme', 'Mandragore']"
Poisskaille Givré en Fricassée,Poisson comestible,200,"['Eau calme', 'Poisskaille Givré', 'Mandragore']"
Coffre magistral de loterie,Coffre,200,[]
Dragofesse du roi Nidas,Objet d'élevage,195,"['Roue de Tivelo', 'Poil de Vétauran', 'Défense de Gliglicérin', 'Peau de Piralak', 'Bulbe Morito', 'Branche de Tiwabbit Kiafin', 'Essence du Roi Nidas', 'Dent de Cycloporth']"
Baffeur de Dantinéa,Objet d'élevage,195,"['Charnière Cassée', 'Carapace Jaune', 'Étoffe de Kurookin', 'Plume de Buveur', 'Carpelle de Brouture', 'Masque de la Violence', 'Queue de Scordion Bleu', 'Essence de Dantinéa']"
Dragofesse de Solar,Objet d'élevage,195,"['Champignon', 'Couteau de Roukouto', 'Étoffe de Gliglidoudur', 'Os de Pékeualak', 'Bulbe Malibout', 'Bandeau de Black Wabbit Squelette', 'Peau de Trémorse', 'Essence de Solar']"
Mangeoire d'Anerice la Shushess,Objet d'élevage,195,"['Poils de Barbe du Bwork Mage', 'Œil de Cocholou', 'Botte trouée de Mégabwork', 'Croupion du Bitouf aérien', 'Étoffe de Rat Bougri', 'Lamelle de Champa Rouge', 'Flèche de Crâmbo', ""Essence d'Anerice la Shushess""]"
