name,type,level
Cervelle de Peunch,Ressources diverses,200
Cuir de Cuirboule,Cuir,200
Moustache de Klime,Poil,200
Molaire de Ventrublion,Os,200
Cervelle de Verglasseur,Ressources diverses,200
Molaire de Nessil,Os,200
Canine de Krakal,Os,200
Crinière de Krakal,Poil,200
Carapace de Termystique,Carapace,200
Canine de Kanimate,Os,200
Volve de Mérulor,Champignon,200
Aile de Nocturlabe,Aile,200
Pic du Nocturlabe,Os,200
Clef des Salons privés de Klime,Clef,200
Fermeture éclair,Vêtement,200
Mycoses gelées,Champignon,200
Essence du Comte Harebourg,Essence de gardien de donjon,200
Pince de Krabouilleur,Os,200
Cuir d'Eskoglyphe,Cuir,200
Chaussette du Cyclophandre,Vêtement,200
Cœur de Merkator,Ressources diverses,200
Sourcil de Barbétoal,Poil,200
Morceau de clef de Paspartou,Ressources diverses,200
Clef du Palais du roi Nidas,Clef,200
Carte de Gein,Carte,200
Fragment de carte de Gein 3/8,Fragment de carte,200
Clef du Ventre de la Baleine,Clef,200
Essence du Protozorreur,Essence de gardien de donjon,200
Serre d'Ikargn,Patte,200
Plume de Brabuzar,Plume,200
Boucle des Égarés,Vêtement,200
Fragment de carte de l'Hyperscampe 7/8,Fragment de carte,200
Fragment de carte de l'Hyperscampe 5/8,Fragment de carte,200
Chair de Zombruth,Ressources diverses,200
Clef de la Tour de Solar,Clef,200
Essence d'Anerice la Shushess,Essence de gardien de donjon,200
Essence de Dazak Martegel,Essence de gardien de donjon,200
Poils de barbe de Barbélier,Poil,200
Dent de Vatenbière,Os,200
Andésite,Pierre brute,200
Légende du Trompe-la-Mort,Ressources des Songes,200
Légende de Mille Lieues,Ressources des Songes,200
Légende de Rykke Errel,Ressources des Songes,200
Toque de Cabosseur,Vêtement,200
Boucle temporelle,Ressources des Anomalies Temporelles,200
Boucle intemporelle,Ressources des Anomalies Temporelles,200
Canine de Cronnibal,Os,200
Prysmaradite Sapin,Ressources des Songes,200
Plume de Misère,Plume,200
Langue de Krèvladal,Ressources diverses,200
Côtes de Désosseur,Os,200
Peau pourrie de Dolid,Peau,200
Baguette Rythmique,Ressources diverses,200
Peau du Grand Kongoku,Peau,200
Fragment de carte de Kongoku 1/8,Fragment de carte,200
Fragment de carte de Kongoku 4/8,Fragment de carte,200
Fragment de carte de Kongoku 5/8,Fragment de carte,200
Fragment de carte de Voldelor 2/8,Fragment de carte,200
Fragment de carte de Voldelor 3/8,Fragment de carte,200
Ceinture de la Dame,Vêtement,200
Sceau du Roi Joueur,Ressources diverses,200
Fragment de carte d'Atcham 4/8,Fragment de carte,200
Fragment de carte d'Atcham 6/8,Fragment de carte,200
Jeton du Chazino du Grand Jeu,Ressources diverses,200
Hélice en laiton,Ressources diverses,200
Filtre à frousse,Ressources diverses,200
Bave de Mol Usk,Liquide,200
Poil de Meno,Poil,200
Pierre Angulaire,Pierre brute,200
Salikrone,Plante,200
Patelle,Poisson,200
Soie chatoyante,Étoffe,200
Cocktail cacterre,Liquide,200
Grenat de Momistik,Pierre précieuse,200
Paupière Dorée de Rykaon,Ressources diverses,200
Oreille de Griffotep,Oreille,200
Scarabée Chrysonéfritin,Pierre précieuse,200
Aile de Kérigoule,Aile,200
Œil de Gouligane,Œil,200
Goulobule rouge,Ressources diverses,200
Brûlâme encapsulé,Ressources diverses,200
Restes d'Esprigné,Ressources diverses,200
Cristal pliable,Minerai,200
Clef de la Mémoire d'Orukam,Clef,200
Apostrophe d'Imafugo,Ressources diverses,200
Diacritique du Roi Imagami,Ressources diverses,200
Cédille de Tsunam,Ressources diverses,200
Essence de la Reine Amirukam,Essence de gardien de donjon,200
Diadème de Belilith,Ressource de combat,200
Scalp de Bwariok,Ressources diverses,200
Aile d'Eninferno,Aile,200
Tentacule de Démoloch,Ressources diverses,200
Essence de l'Éternel Conflit,Essence de gardien de donjon,200
Croquette infusée du Mulou,Nourriture pour familier,200
Croquette infusée du Bwak,Nourriture pour familier,200
Croquette infusée du Craqueleur,Nourriture pour familier,200
Croquette infusée de l'Arakne,Nourriture pour familier,200
Croquette infusée du Koalak,Nourriture pour familier,200
Croquette infusée du Kitsou,Nourriture pour familier,200
Croquette infusée du Scorbute,Nourriture pour familier,200
Croquette infusée du Noeul,Nourriture pour familier,200
Rouge à lèvres de Belladone,Ressources diverses,200
Frostiz,Céréale,200
Poisskaille Givré,Poisson,200
Pagne d'Alashasss,Vêtement,200
Prysmaradite Prasine,Ressources des Songes,200
Prysmaradite Azurée,Ressources des Songes,200
Prysmaradite Parme,Ressources des Songes,200
Prysmaradite Zinzolin,Ressources des Songes,200
Clef des Fers de la Tyrannie,Clef,200
Épaulière de Ferrailleur,Vêtement,200
Clef de la Sentence de la Balance,Clef,200
Patte de Nheur'Gueule,Patte,200
Bois de pagaie usée,Bois,200
Boulet lesté,Ressources diverses,200
Canine tranchante,Os,200
Clef de la Tempête de l'Eliocalypse,Clef,200
Légende de Corruption,Ressources des Songes,200
Carapace circonflexe d'Imorok,Ressources diverses,200
Guillemets d'Imiyama,Ressources diverses,200
Substrat Astral,Substrat,200
Poisskaille,Poisson,200
Obsidienne,Minerai,200
Graine de Frostiz,Graine,200
Huile de Frostiz,Huile,200
Pile Steamer,Ressources diverses,200
Huile de Pikoleur,Huile,200
Joyau de la couronne du roi Nidas,Pierre précieuse,200
Poils de Barbe d'Enutrofor,Poil,200
Fragment de carte de Gein 1/8,Fragment de carte,200
Fragment de carte de Gein 2/8,Fragment de carte,200
Fragment de carte de Gein 4/8,Fragment de carte,200
Fragment de carte de Gein 7/8,Fragment de carte,200
Mèche de bombe de Terristocrate,Ressource de combat,200
Épaulière de Bourôliste,Vêtement,200
