name,type,level
Poitrine de Glourséleste,Viande,Niv. 200
Poitrine de Glourséleste conservée,Viande conservée,Niv. 200
Cuir de Cuirboule,Cuir,Niv. 200
Moustache de Klime,Poil,Niv. 200
Molaire de Ventrublion,Os,Niv. 200
Canine de Krakal,Os,Niv. 200
Canine de Kanimate,Os,Niv. 200
Volve de Mérulor,Champignon,Niv. 200
Aile de Nocturlabe,Aile,Niv. 200
Clef des Salons privés de Klime,Clef,Niv. 200
Chair d’Alchillusion,Viande,Niv. 200
Boulettes surgelées d’Armutin,Viande,Niv. 200
Semelle de Cuirassé,Viande,Niv. 200
Fermeture éclair,Ressources diverses,Niv. 200
Mycoses gelées,Champignon,Niv. 200
Aile de Gouleton,Aile,Niv. 200
Goulobule rouge,Ressources diverses,Niv. 200
Clef du Goulden Palace,Clef,Niv. 200
Croc de Délégoule,Os,Niv. 200
Pistil de Floristile,Plante,Niv. 200
Oeil de Mortefleur,Oeil,Niv. 200
Poitrine de Glourson,Viande,Niv. 200
Poitrine de Glourson conservée,Viande conservée,Niv. 200
Oeil de Harrogant,Oeil,Niv. 200
Scalp de Klime,Ressources diverses,Niv. 200
Poil d'aisselle de Missiz Frizz,Poil,Niv. 200
Maxillaire de Brikoglours,Os,Niv. 200
Astragale de Brikoléreux,Os,Niv. 200
Chair de Nileza,Viande,Niv. 200
Viande de Brikoléreux,Viande,Niv. 200
Viande de Sylargh,Viande,Niv. 200
Blanc de Sinistro,Viande,Niv. 200
Semelle de Klime Conservée,Viande conservée,Niv. 200
Viande de Brikoléreux Conservée,Viande conservée,Niv. 200
Blanc de Sinistro Conservé,Viande conservée,Niv. 200
Boulon neuf,Ressources diverses,Niv. 200
Œil de verre,Oeil,Niv. 200
Ongle de Goulvernante,Os,Niv. 200
Graisse d'Archillusion,Ressources diverses,Niv. 200
Nectar vivifiant,Ressources diverses,Niv. 200
Cuir d'Empaillé,Cuir,Niv. 200
Stapes de Frimar,Os,Niv. 200
Patte de Termystique,Patte,Niv. 200
Bractée de Drosérâle,Plante,Niv. 200
Broderie de Nileza,Vêtement,Niv. 200
Bec de Mansordide,Os,Niv. 200
Plume de Sinistro,Plume,Niv. 200
Clef du Donjon du Comte Harebourg,Clef,Niv. 200
Essence de Glourséleste,Essence de gardien de donjon,Niv. 200
Essence de Klime,Essence de gardien de donjon,Niv. 200
Écharpe de Hanshi,Vêtement,Niv. 200
Clef du Dojo du vent,Clef,Niv. 200
Chitine de Pandogorgo,Ressources diverses,Niv. 200
Peau de Moon,Peau,Niv. 200
Cuir de Grodruche,Cuir,Niv. 200
Etoffe de Cuirassé,Etoffe,Niv. 200
Cuir de Peunch,Cuir,Niv. 200
Incisive de Stalak,Os,Niv. 200
Incus de Verglasseur,Os,Niv. 200
Culotte de Missiz Frizz,Vêtement,Niv. 200
Plume de Dodox,Plume,Niv. 200
Bec de Strigide,Os,Niv. 200
Scapula du Comte Harebourg,Os,Niv. 200
Clef de la Forgefroide de Missiz Frizz,Clef,Niv. 200
Clef du Transporteur de Sylargh,Clef,Niv. 200
Semelle de Klime,Viande,Niv. 200
Blanc de Harebourg,Viande,Niv. 200
Viande de Sylargh Conservée,Viande conservée,Niv. 200
Racine cristalline,Racine,Niv. 200
Pointe osseuse de Grasmera,Os,Niv. 200
Poil de Délégoule,Poil,Niv. 200
Essence de Shihan et Hanshi,Essence de gardien de donjon,Niv. 200
Essence de Missiz Frizz,Essence de gardien de donjon,Niv. 200
Essence de Nileza,Essence de gardien de donjon,Niv. 200
Essence de Comte Harebourg,Essence de gardien de donjon,Niv. 200
Tige de Bambouto,Plante,Niv. 200
Piques à cheveux de Shihan,Ressources diverses,Niv. 200
Clef de la Bambusaie de Damadrya,Clef,Niv. 200
Tronc de Tromplosion,Ressources diverses,Niv. 200
Essence de Damadrya,Essence de gardien de donjon,Niv. 200
Bois de Chêne Mou,Bois,Niv. 200
Queue de Glourséleste,Queue,Niv. 200
Hamatum de Glourséleste,Os,Niv. 200
Sang d'Armutin,Ressources diverses,Niv. 200
Sang de Karkanik,Ressources diverses,Niv. 200
Bave de Nessil,Ressources diverses,Niv. 200
Braguette de Nileza,Vêtement,Niv. 200
Oreille de Mécanofoux,Oreille,Niv. 200
Laine de Sylargh,Laine,Niv. 200
Incisive de Sylargh,Os,Niv. 200
Plume de Granduk,Plume,Niv. 200
Oeil de Cycloïde,Oeil,Niv. 200
Aile de Sinistrofu,Aile,Niv. 200
Bandelette du Comte Harebourg,Ressources diverses,Niv. 200
Clef du Laboratoire de Nileza,Clef,Niv. 200
Boulettes surgelées de Missiz Frizz,Viande,Niv. 200
Boulettes surgelées de Missiz Frizz Conservées,Viande conservée,Niv. 200
Blanc de Harebourg Conservé,Viande conservée,Niv. 200
Poche de magma de Grasmera,Ressources diverses,Niv. 200
Œil de Goulgotier,Oeil,Niv. 200
Orbe irisé,Pierre précieuse,Niv. 200
Essence de Sylargh,Essence de gardien de donjon,Niv. 200
Bourgeon explosif de Damadrya,Ressources diverses,Niv. 200
Cuir synthétique,Cuir,Niv. 199
Ruban d'Uchiwang,Vêtement,Niv. 198
Étoffe de Kurookin,Etoffe,Niv. 197
Paquet Cadeau du Minotoboule de Nowel,Nowel,Niv. 197
Tête de lance de Fangshu,Ressources diverses,Niv. 196
Étoffe du Roissingue,Etoffe,Niv. 196
Culotte à l'envers du Roissingue,Ressources diverses,Niv. 196
Pelage aérodynamique,Peau,Niv. 194
Bracelet d'Ino-Naru,Ressources diverses,Niv. 192
Clef des cavernes du Kolosso,Clef,Niv. 190
Bavette de Xa,Viande,Niv. 190
Griffe de Kolosso,Os,Niv. 190
Queue de Meliglours,Queue,Niv. 190
Poudre glaciale,Poudre,Niv. 190
Bavette de Bléro,Viande,Niv. 190
Antenne de Gloursaya,Ressources diverses,Niv. 190
Essence de Fuji Givrefoux,Essence de gardien de donjon,Niv. 190
Essence de Grolloum,Essence de gardien de donjon,Niv. 190
Clef de la mine de Sakaï,Clef,Niv. 190
Etoffe givrée,Etoffe,Niv. 190
Cuir de Fuji Givrefoux,Cuir,Niv. 190
Iris de Glourson,Oeil,Niv. 190
Poils de Boulglours,Poil,Niv. 190
Cuir de Glouragan,Cuir,Niv. 190
Incisive de Glourmand,Os,Niv. 190
Hormone de Chacharge,Poudre,Niv. 190
Clef de la Fabrique de foux d'artifice,Clef,Niv. 190
Pipe de Founoroshi,Ressources diverses,Niv. 190
Clef de l'Antichambre des Gloursons,Clef,Niv. 190
Essence de Kolosso,Essence de gardien de donjon,Niv. 190
Essence de Grozilla Fatigué,Essence de gardien de donjon,Niv. 190
Lame brisée de Lichangoro,Ressources diverses,Niv. 190
Fragment gelé,Pierre brute,Niv. 190
Condyle de Fuji Givrefoux,Os,Niv. 190
Bavette de Bléro conservée,Viande conservée,Niv. 190
Bavette de Xa conservée,Viande conservée,Niv. 190
Etoffe de Kolosso,Etoffe,Niv. 190
Patron du Père Fwetar,Nowel,Niv. 190
Essence de Founoroshi,Essence de gardien de donjon,Niv. 190
Queue magique de Founoroshi,Queue,Niv. 189
Oeuf de Gobus,Oeuf,Niv. 189
Etoffe de Croleur,Etoffe,Niv. 188
Cervelle de Courtilieur,Ressources diverses,Niv. 187
Molaire de Blérice,Os,Niv. 187
Oeil de Champmane,Oeil,Niv. 186
Poils de Founamboul,Poil,Niv. 186
Queue de Blérom,Queue,Niv. 186
Estomac du Perkü,Ressources diverses,Niv. 186
Fragment de pépite de Sakaï,Pierre brute,Niv. 185
Poils de Pétartifoux,Poil,Niv. 185
Osier Enchanté,Ressources diverses,Niv. 185
Péroné du Marôdeur,Os,Niv. 184
Bave de Champ à Gnons,Ressources diverses,Niv. 183
Poils de Boumbardier,Poil,Niv. 183
Peau d'Ouilleur,Peau,Niv. 183
Griffe de Blérauve,Os,Niv. 183
Etoffe de Firefoux,Etoffe,Niv. 182
Oreille de Fleuro,Oreille,Niv. 182
Oeil de Sapeur,Oeil,Niv. 181
Peau de Crachefoux,Peau,Niv. 181
Clef du Donjon du Bworker,Clef,Niv. 180
Lamelle de Champbis,Ressources diverses,Niv. 180
Fragment d'Ougalurette,Ressources diverses,Niv. 180
